order_id,order_date,user_id,customer_name,customer_email,customer_phone,shipping_address,sku,isbn,title,author,edition,language,category,tags,condition,price,quantity,total_price,currency,ai_metadata_filled,ai_confidence_score,auto_tags,sync_source,inventory_sync_id,payment_reference,payment_status,order_status,receipt_url
6924721e44a0046c788c40a8,2025-11-24T14:56:30.103Z,6888f7e9e9896d7bd5cc4727,Test User,,0000000000,"{""fullName"":""Test User"",""phoneNumber"":""0000000000"",""addressLine1"":""123 Street"",""city"":""London"",""postalCode"":""SW1A 1AA"",""country"":""GB""}",N/A,978-3-100000930,Test Book #930,Unknown,,English,Global Literature,,like new,36.63,2,73.26,GBP,no,,,,,,paid,processing,
6924721e44a0046c788c40a8,2025-11-24T14:56:30.103Z,6888f7e9e9896d7bd5cc4727,Test User,,0000000000,"{""fullName"":""Test User"",""phoneNumber"":""0000000000"",""addressLine1"":""123 Street"",""city"":""London"",""postalCode"":""SW1A 1AA"",""country"":""GB""}",JE09108,9780341054528,Media rule care open.,John Lopez,3th,Italian,Uncategorized,,new,11.09,3,33.27,GBP,yes,0.05,"unidentified, placeholder, unknown content",csv,JE09108,,paid,processing,
6924721e44a0046c788c40a8,2025-11-24T14:56:30.103Z,6888f7e9e9896d7bd5cc4727,Test User,,0000000000,"{""fullName"":""Test User"",""phoneNumber"":""0000000000"",""addressLine1"":""123 Street"",""city"":""London"",""postalCode"":""SW1A 1AA"",""country"":""GB""}",N/A,978-3-100020483,miserable oil Vol. 2,Matt Mertz MD,,English,Politics,,like new,8.44,1,8.44,GBP,no,,,,,,paid,processing,
6924721f44a0046c788c40b5,2025-11-24T14:56:31.667Z,6888f7e9e9896d7bd5cc4727,Test User,,0000000000,"{""fullName"":""Test User"",""phoneNumber"":""0000000000"",""addressLine1"":""123 Street"",""city"":""London"",""postalCode"":""SW1A 1AA"",""country"":""GB""}",N/A,978-3-100004976,arid knickers Vol. 2,Blanche Herzog,,English,Language Learning,,like new,36.29,2,72.58,GBP,no,,,,,,paid,processing,
6924721f44a0046c788c40b5,2025-11-24T14:56:31.667Z,6888f7e9e9896d7bd5cc4727,Test User,,0000000000,"{""fullName"":""Test User"",""phoneNumber"":""0000000000"",""addressLine1"":""123 Street"",""city"":""London"",""postalCode"":""SW1A 1AA"",""country"":""GB""}",N/A,978-3-100001161,bulky wafer Vol. 5,Dana Purdy,,English,Unknown,,good,39.16,2,78.32,GBP,yes,0.60,"Volume 5, Dana Purdy, English",,,,paid,processing,
6924721f44a0046c788c40b5,2025-11-24T14:56:31.667Z,6888f7e9e9896d7bd5cc4727,Test User,,0000000000,"{""fullName"":""Test User"",""phoneNumber"":""0000000000"",""addressLine1"":""123 Street"",""city"":""London"",""postalCode"":""SW1A 1AA"",""country"":""GB""}",N/A,978-3-100004774,courteous complication Vol. 4,Clyde Rohan DDS,,English,Mystery,,acceptable,30.89,1,30.89,GBP,no,,,,,,paid,processing,
6924722144a0046c788c40c0,2025-11-24T14:56:33.185Z,6888f7e9e9896d7bd5cc4727,Test User,,0000000000,"{""fullName"":""Test User"",""phoneNumber"":""0000000000"",""addressLine1"":""123 Street"",""city"":""London"",""postalCode"":""SW1A 1AA"",""country"":""GB""}",N/A,978-3-100010630,guilty schedule Vol. 2,Christine Upton,,English,Fantasy,,acceptable,13.02,1,13.02,GBP,no,,,,,,paid,processing,
6924722144a0046c788c40c0,2025-11-24T14:56:33.185Z,6888f7e9e9896d7bd5cc4727,Test User,,0000000000,"{""fullName"":""Test User"",""phoneNumber"":""0000000000"",""addressLine1"":""123 Street"",""city"":""London"",""postalCode"":""SW1A 1AA"",""country"":""GB""}",VA35083,9780765164025,Surface keep culture guess.,Tony Kirk,2th,English,Experimental Fiction,,new,33.55,1,33.55,GBP,yes,0.15,"abstract, surreal, experimental",csv,VA35083,,paid,processing,
6924722144a0046c788c40c0,2025-11-24T14:56:33.185Z,6888f7e9e9896d7bd5cc4727,Test User,,0000000000,"{""fullName"":""Test User"",""phoneNumber"":""0000000000"",""addressLine1"":""123 Street"",""city"":""London"",""postalCode"":""SW1A 1AA"",""country"":""GB""}",N/A,978-3-100012063,round verve Vol. 3,Mrs. Tonya Roberts,,English,Business,,acceptable,39.14,1,39.14,GBP,no,,,,,,paid,processing,
6924722344a0046c788c40cb,2025-11-24T14:56:35.071Z,6888f7e9e9896d7bd5cc4727,Test User,,0000000000,"{""fullName"":""Test User"",""phoneNumber"":""0000000000"",""addressLine1"":""123 Street"",""city"":""London"",""postalCode"":""SW1A 1AA"",""country"":""GB""}",N/A,978-3-100004643,white bracelet Vol. 2,Betty Parker,,English,Technology,,acceptable,12.81,3,38.43,GBP,no,,,,,,paid,processing,
