OrderId,orderItemId,sku,quantity,price,shippingfee,Name,address1,address2,city,county,postcode,country,phone,email,title,date
69302a2c743c88b16aec5e28,6919332fa1ef0ba0c2c5b5f8,WX05421,3,85.91,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,Of push old room.,2025-12-03T12:16:44.236Z
69302a2c743c88b16aec5e28,69191ed1176349027d8fc7fb,SKU00007,3,8.50,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,Sample Book Title 7,2025-12-03T12:16:44.236Z
69302a2c743c88b16aec5e28,691aef1a95f1c2116064881a,AW20014,3,77.90,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,Management similar kind kind.,2025-12-03T12:16:44.236Z
69302a2d743c88b16aec5e30,691aef0195f1c211606487b7,ID95548,2,63.83,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,Itself management.,2025-12-03T12:16:45.096Z
69302a2d743c88b16aec5e30,690a633fcc02caeb6d1a1030,CLEAR-1762288447537-16,2,6.48,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,Songs for the Abandoned City,2025-12-03T12:16:45.096Z
69302a2d743c88b16aec5e30,69191ed2176349027d8fc801,SKU00009,3,9.50,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,Sample Book Title 9,2025-12-03T12:16:45.096Z
69302a2d743c88b16aec5e36,6919335ba1ef0ba0c2c5b6af,ZC49178,1,30.09,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,Lay miss read.,2025-12-03T12:16:45.972Z
69302a2d743c88b16aec5e36,690a5ffa4b2fa7705cc8762f,CLEAR-1762287610157-9,2,5.21,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,Beneath the Grey Bridge,2025-12-03T12:16:45.972Z
69302a2d743c88b16aec5e36,6919334aa1ef0ba0c2c5b66a,FL12003,2,40.45,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,Memory summer.,2025-12-03T12:16:45.972Z
69302a2e743c88b16aec5e3c,6919331da1ef0ba0c2c5b5b3,GY56560,2,93.96,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,Ball case might present.,2025-12-03T12:16:46.832Z
69302a2e743c88b16aec5e3c,691aef1b95f1c2116064881d,XI15476,1,88.66,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,Yeah show past hear dog.,2025-12-03T12:16:46.832Z
69302a2e743c88b16aec5e3c,691aeeea95f1c21160648758,TP27412,1,73.60,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,Piece sense hit her on.,2025-12-03T12:16:46.832Z
69302a2f743c88b16aec5e42,6919332ca1ef0ba0c2c5b5ec,AY23799,1,6.29,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,Show radio return good likely.,2025-12-03T12:16:47.887Z
69302a2f743c88b16aec5e42,691aeef995f1c21160648796,MP30022,1,99.30,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,Perhaps increase lay now lead.,2025-12-03T12:16:47.887Z
69302a2f743c88b16aec5e42,690a5ffa4b2fa7705cc87632,CLEAR-1762287610158-12,2,3.41,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,The Merchant’s Daughter,2025-12-03T12:16:47.887Z
