order_id,order_date,user_id,customer_name,customer_email,customer_phone,shipping_address_line1,shipping_address_line2,shipping_city,shipping_state,shipping_postcode,shipping_country,sku,isbn,title,author,edition,language,category,tags,condition,price,quantity,total_price,currency,ai_metadata_filled,ai_confidence_score,auto_tags,sync_source,inventory_sync_id,payment_reference,payment_status,order_status,receipt_url
692ed295352a6e380c7d9c0d,2025-12-02T11:50:45.690Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,221B Baker Street,,Liverpool,London,NW1 6XE,GB,N/A,978-3-100026502,uncommon hospitalization Vol. 2,Lamar Mills PhD,,English,Drama,,like new,41.16,1,41.16,GBP,no,,,,,,paid,processing,
692ed295352a6e380c7d9c0d,2025-12-02T11:50:45.690Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,221B Baker Street,,Liverpool,London,NW1 6XE,GB,N/A,978-3-100009676,dependent council Vol. 4,Frederick Johnson,,English,Science Fiction,,acceptable,17.50,2,35.00,GBP,no,,,,,,paid,processing,
692ed295352a6e380c7d9c0d,2025-12-02T11:50:45.690Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,221B Baker Street,,Liverpool,London,NW1 6XE,GB,N/A,978-3-100015133,intrepid negotiation Vol. 4,Miss Marsha Aufderhar,,English,Historical Fiction,,acceptable,19.52,2,39.04,GBP,no,,,,,,paid,processing,
692ed296352a6e380c7d9c13,2025-12-02T11:50:46.569Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,221B Baker Street,,Liverpool,London,NW1 6XE,GB,N/A,978-3-100009761,present invite Vol. 3,Owen Ward,,English,Biography,,acceptable,44.33,1,44.33,GBP,no,,,,,,paid,processing,
692ed296352a6e380c7d9c13,2025-12-02T11:50:46.569Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,221B Baker Street,,Liverpool,London,NW1 6XE,GB,N/A,978-3-100007247,basic grandpa Vol. 5,Carolyn Runte MD,,English,Leadership,,very good,32.00,1,32.00,GBP,no,,,,,,paid,processing,
692ed296352a6e380c7d9c13,2025-12-02T11:50:46.569Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,221B Baker Street,,Liverpool,London,NW1 6XE,GB,N/A,978-3-100006623,impressive diver Vol. 4,Leona Gottlieb,,English,Leadership,,good,20.63,1,20.63,GBP,no,,,,,,paid,processing,
692ed297352a6e380c7d9c19,2025-12-02T11:50:47.438Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,221B Baker Street,,Liverpool,London,NW1 6XE,GB,N/A,978-3-100013968,sour laughter Vol. 2,Roy Pacocha,,English,Parenting,,very good,32.83,3,98.49,GBP,no,,,,,,paid,processing,
692ed297352a6e380c7d9c19,2025-12-02T11:50:47.438Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,221B Baker Street,,Liverpool,London,NW1 6XE,GB,N/A,978-3-100005336,trusty utilization Vol. 3,Edmond Bergnaum,,English,Drama,,very good,7.68,2,15.36,GBP,no,,,,,,paid,processing,
692ed297352a6e380c7d9c19,2025-12-02T11:50:47.438Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,221B Baker Street,,Liverpool,London,NW1 6XE,GB,N/A,978-3-100025355,puny toothbrush Vol. 2,Lawrence Grimes,,English,Test Prep,,acceptable,37.08,2,74.16,GBP,no,,,,,,paid,processing,
692ed298352a6e380c7d9c1f,2025-12-02T11:50:48.257Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,221B Baker Street,,Liverpool,London,NW1 6XE,GB,N/A,978-3-100009094,blushing forgery Vol. 4,Gerard Nolan,,English,Romance,,like new,38.15,1,38.15,GBP,no,,,,,,paid,processing,
692ed298352a6e380c7d9c1f,2025-12-02T11:50:48.257Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,221B Baker Street,,Liverpool,London,NW1 6XE,GB,N/A,978-3-100001228,blue cap Vol. 3,Misty Volkman,,English,Photography,,like new,26.59,1,26.59,GBP,no,,,,,,paid,processing,
692ed298352a6e380c7d9c1f,2025-12-02T11:50:48.257Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,221B Baker Street,,Liverpool,London,NW1 6XE,GB,N/A,978-3-100025465,self-assured tennis Vol. 3,Neil Beahan,,English,Cookbooks,,new,8.17,3,24.51,GBP,no,,,,,,paid,processing,
692ed299352a6e380c7d9c25,2025-12-02T11:50:49.107Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,221B Baker Street,,Liverpool,London,NW1 6XE,GB,N/A,978-3-100008971,stable meander Vol. 2,Kristen Emmerich,,English,Business,,very good,10.31,2,20.62,GBP,no,,,,,,paid,processing,
692ed299352a6e380c7d9c25,2025-12-02T11:50:49.107Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,221B Baker Street,,Liverpool,London,NW1 6XE,GB,N/A,978-3-100001610,infatuated squid Vol. 2,Tommie Mayert,,English,Leadership,,new,15.00,2,30.00,GBP,no,,,,,,paid,processing,
692ed299352a6e380c7d9c25,2025-12-02T11:50:49.107Z,6888f7e9e9896d7bd5cc4727,John Test Doe,,07123456789,221B Baker Street,,Liverpool,London,NW1 6XE,GB,N/A,978-3-100006597,puzzled dusk Vol. 2,Tyrone Satterfield,,English,Photography,,like new,14.35,3,43.05,GBP,no,,,,,,paid,processing,
