OrderId,orderItemId,sku,quantity,price,shippingfee,Name,address1,address2,city,county,postcode,country,phone,email,title,date,status
69302bffdc799ada26e21030,691aef2495f1c21160648840,ZJ62340,2,49.14,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,Soon ground.,2025-12-03T12:24:31.247Z,out_for_delivery
69302bffdc799ada26e21030,6919333aa1ef0ba0c2c5b624,SG28751,3,6.16,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,Back people foreign according.,2025-12-03T12:24:31.247Z,out_for_delivery
69302bffdc799ada26e21030,690a55f788783673b3931734,CHILDNEW-10,2,12.73,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,The Rainbow Race,2025-12-03T12:24:31.247Z,out_for_delivery
69302c00dc799ada26e21038,6916abd3c6df088687c32f62,752938,3,3.49,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,Placebo (752938),2025-12-03T12:24:32.076Z,out_for_delivery
69302c00dc799ada26e21038,690a5ffa4b2fa7705cc87636,CLEAR-1762287610158-16,1,5.61,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,A Cup of Old Rain,2025-12-03T12:24:32.076Z,out_for_delivery
69302c00dc799ada26e21038,6919334aa1ef0ba0c2c5b66a,FL12003,1,40.45,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,Memory summer.,2025-12-03T12:24:32.076Z,out_for_delivery
69302c00dc799ada26e2103e,690a5ffa4b2fa7705cc87629,CLEAR-1762287610156-3,2,5.31,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,The Old Piano’s Song,2025-12-03T12:24:32.850Z,out_for_delivery
69302c00dc799ada26e2103e,690a633fcc02caeb6d1a102b,CLEAR-1762288447537-11,2,4.91,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,The Mapmaker’s Shadow,2025-12-03T12:24:32.850Z,out_for_delivery
69302c00dc799ada26e2103e,690a633fcc02caeb6d1a1027,CLEAR-1762288447536-7,1,5.31,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,The Garden of Broken Statues,2025-12-03T12:24:32.850Z,out_for_delivery
69302c01dc799ada26e21044,690a55f788783673b393174d,CLEARNEW-15,1,18.21,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,Beneath the Old Pavilion,2025-12-03T12:24:33.639Z,out_for_delivery
69302c01dc799ada26e21044,690a61a73ae28fee5bef7e9b,CLEAR-1762288039642-8,3,3.18,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,A Symphony of Dust,2025-12-03T12:24:33.639Z,out_for_delivery
69302c01dc799ada26e21044,690a633fcc02caeb6d1a102b,CLEAR-1762288447537-11,1,4.91,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,The Mapmaker’s Shadow,2025-12-03T12:24:33.639Z,out_for_delivery
69302c02dc799ada26e2104a,691aef1b95f1c21160648820,QF11316,2,68.14,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,Visit piece join lay author.,2025-12-03T12:24:34.416Z,out_for_delivery
69302c02dc799ada26e2104a,690a55f788783673b3931749,CLEARNEW-11,1,22.87,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,The Forgotten Ink,2025-12-03T12:24:34.416Z,out_for_delivery
69302c02dc799ada26e2104a,691aeef395f1c2116064877d,DA81294,1,61.34,4.99,John Test Doe,221B Baker Street,,Liverpool,London,NW1 6XE,GB,07123456789,,Simply alone.,2025-12-03T12:24:34.416Z,out_for_delivery
